Sample,Condition,Tracer,compound,datatype,value
C9 Trac2,Control,13C6 Nutrient2,Galactose-1-phosphate,NormAbund,1231045638
C9 Trac2,Control,13C6 Nutrient2,Galactose-6-phosphate,Abund,727346.0291
C9 Trac2,Control,13C6 Nutrient2,Galactose-6-phosphate,NormAbund,727346.0291
C9 Trac2,Control,13C6 Nutrient2,Glucose-1-phosphate,Abund,101708134.7
C9 Trac2,Control,13C6 Nutrient2,Glucose-1-phosphate,NormAbund,101708134.7
C9 Trac2,Control,13C6 Nutrient2,Glucose-6-phosphate,Abund,13486283.12
C9 Trac2,Control,13C6 Nutrient2,Glucose-6-phosphate,NormAbund,13486283.12
C9 Trac2,Control,13C6 Nutrient2,Mannose-1-phosphate,Abund,936021.6122
C9 Trac2,Control,13C6 Nutrient2,Mannose-1-phosphate,NormAbund,936021.6122
C9 Trac2,Control,13C6 Nutrient2,Mannose-6-phosphate,Abund,2735036.267
C9 Trac2,Control,13C6 Nutrient2,Mannose-6-phosphate,NormAbund,2735036.267
C9 Trac2,Control,13C6 Nutrient2,"Fructose 1,6-bisphosphate",Abund,25496843.07
C9 Trac2,Control,13C6 Nutrient2,"Fructose 1,6-bisphosphate",NormAbund,25496843.07
C9 Trac2,Control,13C6 Nutrient2,"Fructose 2,6-bisphosphate possibly1",Abund,1165143.414
C9 Trac2,Control,13C6 Nutrient2,"Fructose 2,6-bisphosphate possibly1",NormAbund,1165143.414
C9 Trac2,Control,13C6 Nutrient2,"Glucose 1,6-bisphosphate",Abund,7105555.074
C9 Trac2,Control,13C6 Nutrient2,"Glucose 1,6-bisphosphate",NormAbund,7105555.074
C9 Trac2,Control,13C6 Nutrient2,Uridine diphosphate-N-acetylglucosamine,Abund,127300509.8
C9 Trac2,Control,13C6 Nutrient2,Uridine diphosphate-N-acetylglucosamine,NormAbund,127300509.8
C9 Trac2,Control,13C6 Nutrient2,Uridine diphosphate glucuronic acid,Abund,24843973.76
C9 Trac2,Control,13C6 Nutrient2,Uridine diphosphate glucuronic acid,NormAbund,24843973.76
C9 Trac2,Control,13C6 Nutrient2,Uridine diphosphate hexose,Abund,177025390.5
C9 Trac2,Control,13C6 Nutrient2,Uridine diphosphate hexose,NormAbund,177025390.5
C9 Trac2,Control,13C6 Nutrient2,GDP-Fucose,Abund,3774798.453
C9 Trac2,Control,13C6 Nutrient2,GDP-Fucose,NormAbund,3774798.453
C17 Trac1,Control,13C6 Nutrient1,Fructose-6-phosphate,Abund,107767454.9
C17 Trac1,Control,13C6 Nutrient1,Fructose-6-phosphate,NormAbund,107767454.9
C17 Trac1,Control,13C6 Nutrient1,Galactose-1-phosphate,Abund,675164110.2
C17 Trac1,Control,13C6 Nutrient1,Galactose-1-phosphate,NormAbund,675164110.2
C17 Trac1,Control,13C6 Nutrient1,Galactose-6-phosphate,Abund,655520.628
C17 Trac1,Control,13C6 Nutrient1,Galactose-6-phosphate,NormAbund,655520.628
C17 Trac1,Control,13C6 Nutrient1,Glucose-1-phosphate,Abund,66335869.51
C17 Trac1,Control,13C6 Nutrient1,Glucose-1-phosphate,NormAbund,66335869.51
C17 Trac1,Control,13C6 Nutrient1,Glucose-6-phosphate,Abund,7655130.695
C17 Trac1,Control,13C6 Nutrient1,Glucose-6-phosphate,NormAbund,7655130.695
C17 Trac1,Control,13C6 Nutrient1,Mannose-1-phosphate,Abund,286815.4373
C17 Trac1,Control,13C6 Nutrient1,Mannose-1-phosphate,NormAbund,286815.4373
C17 Trac1,Control,13C6 Nutrient1,Mannose-6-phosphate,Abund,1160835.228
C17 Trac1,Control,13C6 Nutrient1,Mannose-6-phosphate,NormAbund,1160835.228
C17 Trac1,Control,13C6 Nutrient1,"Fructose 1,6-bisphosphate",Abund,9034237.646
C17 Trac1,Control,13C6 Nutrient1,"Fructose 1,6-bisphosphate",NormAbund,9034237.646
C17 Trac1,Control,13C6 Nutrient1,"Fructose 2,6-bisphosphate possibly1",Abund,841043.4267
C17 Trac1,Control,13C6 Nutrient1,"Fructose 2,6-bisphosphate possibly1",NormAbund,841043.4267
C17 Trac1,Control,13C6 Nutrient1,"Glucose 1,6-bisphosphate",Abund,6444487.849
C17 Trac1,Control,13C6 Nutrient1,"Glucose 1,6-bisphosphate",NormAbund,6444487.849
C17 Trac1,Control,13C6 Nutrient1,Uridine diphosphate-N-acetylglucosamine,Abund,86104753.54
C17 Trac1,Control,13C6 Nutrient1,Uridine diphosphate-N-acetylglucosamine,NormAbund,86104753.54
C17 Trac1,Control,13C6 Nutrient1,Uridine diphosphate glucuronic acid,Abund,15548394.41
C17 Trac1,Control,13C6 Nutrient1,Uridine diphosphate glucuronic acid,NormAbund,15548394.41
C17 Trac1,Control,13C6 Nutrient1,Uridine diphosphate hexose,Abund,121360728.9
C17 Trac1,Control,13C6 Nutrient1,Uridine diphosphate hexose,NormAbund,121360728.9
C17 Trac1,Control,13C6 Nutrient1,GDP-Fucose,Abund,2188916.048
C17 Trac1,Control,13C6 Nutrient1,GDP-Fucose,NormAbund,2188916.048
C17 Trac2,Control,13C6 Nutrient2,Fructose-6-phosphate,Abund,92652966.85
C17 Trac2,Control,13C6 Nutrient2,Fructose-6-phosphate,NormAbund,92652966.85
C17 Trac2,Control,13C6 Nutrient2,Galactose-1-phosphate,Abund,902797021.1
C17 Trac2,Control,13C6 Nutrient2,Galactose-1-phosphate,NormAbund,902797021.1
C17 Trac2,Control,13C6 Nutrient2,Galactose-6-phosphate,Abund,855011.0694
C17 Trac2,Control,13C6 Nutrient2,Galactose-6-phosphate,NormAbund,855011.0694
C17 Trac2,Control,13C6 Nutrient2,Glucose-1-phosphate,Abund,83770672.28
C17 Trac2,Control,13C6 Nutrient2,Glucose-1-phosphate,NormAbund,83770672.28
C17 Trac2,Control,13C6 Nutrient2,Glucose-6-phosphate,Abund,8754256.695
C17 Trac2,Control,13C6 Nutrient2,Glucose-6-phosphate,NormAbund,8754256.695
C17 Trac2,Control,13C6 Nutrient2,Mannose-1-phosphate,Abund,295881.1853
C17 Trac2,Control,13C6 Nutrient2,Mannose-1-phosphate,NormAbund,295881.1853
C17 Trac2,Control,13C6 Nutrient2,Mannose-6-phosphate,Abund,1467210.45
C17 Trac2,Control,13C6 Nutrient2,Mannose-6-phosphate,NormAbund,1467210.45
C17 Trac2,Control,13C6 Nutrient2,"Fructose 1,6-bisphosphate",Abund,11502822.49
C17 Trac2,Control,13C6 Nutrient2,"Fructose 1,6-bisphosphate",NormAbund,11502822.49
C17 Trac2,Control,13C6 Nutrient2,"Fructose 2,6-bisphosphate possibly1",Abund,1360141.631
C17 Trac2,Control,13C6 Nutrient2,"Fructose 2,6-bisphosphate possibly1",NormAbund,1360141.631
C17 Trac2,Control,13C6 Nutrient2,"Glucose 1,6-bisphosphate",Abund,9601856.997
C17 Trac2,Control,13C6 Nutrient2,"Glucose 1,6-bisphosphate",NormAbund,9601856.997
C17 Trac2,Control,13C6 Nutrient2,Uridine diphosphate-N-acetylglucosamine,Abund,124579378.1
C17 Trac2,Control,13C6 Nutrient2,Uridine diphosphate-N-acetylglucosamine,NormAbund,124579378.1
C17 Trac2,Control,13C6 Nutrient2,Uridine diphosphate glucuronic acid,Abund,21953211.94
C17 Trac2,Control,13C6 Nutrient2,Uridine diphosphate glucuronic acid,NormAbund,21953211.94
C17 Trac2,Control,13C6 Nutrient2,Uridine diphosphate hexose,Abund,168660931.9
C17 Trac2,Control,13C6 Nutrient2,Uridine diphosphate hexose,NormAbund,168660931.9
C17 Trac2,Control,13C6 Nutrient2,GDP-Fucose,Abund,4096038.89
C17 Trac2,Control,13C6 Nutrient2,GDP-Fucose,NormAbund,4096038.89
C6 Trac1,Control,13C6 Nutrient1,Fructose-6-phosphate,Abund,101998141.6
C6 Trac1,Control,13C6 Nutrient1,Fructose-6-phosphate,NormAbund,101998141.6
C6 Trac1,Control,13C6 Nutrient1,Galactose-1-phosphate,Abund,531616289.4
C6 Trac1,Control,13C6 Nutrient1,Galactose-1-phosphate,NormAbund,531616289.4
C6 Trac1,Control,13C6 Nutrient1,Galactose-6-phosphate,Abund,472989.5399
C6 Trac1,Control,13C6 Nutrient1,Galactose-6-phosphate,NormAbund,472989.5399
C6 Trac1,Control,13C6 Nutrient1,Glucose-1-phosphate,Abund,67668115.26
C6 Trac1,Control,13C6 Nutrient1,Glucose-1-phosphate,NormAbund,67668115.26
C6 Trac1,Control,13C6 Nutrient1,Glucose-6-phosphate,Abund,3815830.84
C6 Trac1,Control,13C6 Nutrient1,Glucose-6-phosphate,NormAbund,3815830.84
C6 Trac1,Control,13C6 Nutrient1,Mannose-1-phosphate,Abund,43053.56776
C6 Trac1,Control,13C6 Nutrient1,Mannose-1-phosphate,NormAbund,43053.56776
C6 Trac1,Control,13C6 Nutrient1,Mannose-6-phosphate,Abund,131409.333
C6 Trac1,Control,13C6 Nutrient1,Mannose-6-phosphate,NormAbund,131409.333
C6 Trac1,Control,13C6 Nutrient1,"Fructose 1,6-bisphosphate",Abund,3009120.735
C6 Trac1,Control,13C6 Nutrient1,"Fructose 1,6-bisphosphate",NormAbund,3009120.735
C6 Trac1,Control,13C6 Nutrient1,"Fructose 2,6-bisphosphate possibly1",Abund,998687.5702
C6 Trac1,Control,13C6 Nutrient1,"Fructose 2,6-bisphosphate possibly1",NormAbund,998687.5702
C6 Trac1,Control,13C6 Nutrient1,"Glucose 1,6-bisphosphate",Abund,6948438.003
C6 Trac1,Control,13C6 Nutrient1,"Glucose 1,6-bisphosphate",NormAbund,6948438.003
C6 Trac1,Control,13C6 Nutrient1,Uridine diphosphate-N-acetylglucosamine,Abund,86608904.11
C6 Trac1,Control,13C6 Nutrient1,Uridine diphosphate-N-acetylglucosamine,NormAbund,86608904.11
C6 Trac1,Control,13C6 Nutrient1,Uridine diphosphate glucuronic acid,Abund,30333229.59
C6 Trac1,Control,13C6 Nutrient1,Uridine diphosphate glucuronic acid,NormAbund,30333229.59
C6 Trac1,Control,13C6 Nutrient1,Uridine diphosphate hexose,Abund,114269729.6
C6 Trac1,Control,13C6 Nutrient1,Uridine diphosphate hexose,NormAbund,114269729.6
C6 Trac1,Control,13C6 Nutrient1,GDP-Fucose,Abund,1163315.056
C6 Trac1,Control,13C6 Nutrient1,GDP-Fucose,NormAbund,1163315.056
C6 Trac2,Control,13C6 Nutrient2,Fructose-6-phosphate,Abund,88915762.71
C6 Trac2,Control,13C6 Nutrient2,Fructose-6-phosphate,NormAbund,88915762.71
C6 Trac2,Control,13C6 Nutrient2,Galactose-1-phosphate,Abund,532404280.1
C6 Trac2,Control,13C6 Nutrient2,Galactose-1-phosphate,NormAbund,532404280.1
C6 Trac2,Control,13C6 Nutrient2,Galactose-6-phosphate,Abund,478994.6101
C6 Trac2,Control,13C6 Nutrient2,Galactose-6-phosphate,NormAbund,478994.6101
C6 Trac2,Control,13C6 Nutrient2,Glucose-1-phosphate,Abund,65753328.87
C6 Trac2,Control,13C6 Nutrient2,Glucose-1-phosphate,NormAbund,65753328.87
C6 Trac2,Control,13C6 Nutrient2,Glucose-6-phosphate,Abund,2404442.911
C6 Trac2,Control,13C6 Nutrient2,Glucose-6-phosphate,NormAbund,2404442.911
C6 Trac2,Control,13C6 Nutrient2,Mannose-1-phosphate,Abund,0
C6 Trac2,Control,13C6 Nutrient2,Mannose-1-phosphate,NormAbund,0
C6 Trac2,Control,13C6 Nutrient2,Mannose-6-phosphate,Abund,181776.9008
C6 Trac2,Control,13C6 Nutrient2,Mannose-6-phosphate,NormAbund,181776.9008
C6 Trac2,Control,13C6 Nutrient2,"Fructose 1,6-bisphosphate",Abund,2234776.64
C6 Trac2,Control,13C6 Nutrient2,"Fructose 1,6-bisphosphate",NormAbund,2234776.64
C6 Trac2,Control,13C6 Nutrient2,"Fructose 2,6-bisphosphate possibly1",Abund,937856.7681
C6 Trac2,Control,13C6 Nutrient2,"Fructose 2,6-bisphosphate possibly1",NormAbund,937856.7681
C6 Trac2,Control,13C6 Nutrient2,"Glucose 1,6-bisphosphate",Abund,6712050.759
C6 Trac2,Control,13C6 Nutrient2,"Glucose 1,6-bisphosphate",NormAbund,6712050.759
C6 Trac2,Control,13C6 Nutrient2,Uridine diphosphate-N-acetylglucosamine,Abund,94028469.98
C6 Trac2,Control,13C6 Nutrient2,Uridine diphosphate-N-acetylglucosamine,NormAbund,94028469.98
C6 Trac2,Control,13C6 Nutrient2,Uridine diphosphate glucuronic acid,Abund,31760158.96
C6 Trac2,Control,13C6 Nutrient2,Uridine diphosphate glucuronic acid,NormAbund,31760158.96
C6 Trac2,Control,13C6 Nutrient2,Uridine diphosphate hexose,Abund,117016065.9
C6 Trac2,Control,13C6 Nutrient2,Uridine diphosphate hexose,NormAbund,117016065.9
C6 Trac2,Control,13C6 Nutrient2,GDP-Fucose,Abund,1606392.59
C6 Trac2,Control,13C6 Nutrient2,GDP-Fucose,NormAbund,1606392.59
C11 Trac1,Control,13C6 Nutrient1,Fructose-6-phosphate,Abund,92765211.22
C11 Trac1,Control,13C6 Nutrient1,Fructose-6-phosphate,NormAbund,92765211.22
C11 Trac1,Control,13C6 Nutrient1,Galactose-1-phosphate,Abund,786267907.9
C11 Trac1,Control,13C6 Nutrient1,Galactose-1-phosphate,NormAbund,786267907.9
C11 Trac1,Control,13C6 Nutrient1,Galactose-6-phosphate,Abund,98132.94368
C11 Trac1,Control,13C6 Nutrient1,Galactose-6-phosphate,NormAbund,98132.94368
C11 Trac1,Control,13C6 Nutrient1,Glucose-1-phosphate,Abund,64095204.93
C11 Trac1,Control,13C6 Nutrient1,Glucose-1-phosphate,NormAbund,64095204.93
C11 Trac1,Control,13C6 Nutrient1,Glucose-6-phosphate,Abund,6433450.654
C11 Trac1,Control,13C6 Nutrient1,Glucose-6-phosphate,NormAbund,6433450.654
C11 Trac1,Control,13C6 Nutrient1,Mannose-1-phosphate,Abund,289433.652
C11 Trac1,Control,13C6 Nutrient1,Mannose-1-phosphate,NormAbund,289433.652
C11 Trac1,Control,13C6 Nutrient1,Mannose-6-phosphate,Abund,1690105.263
C11 Trac1,Control,13C6 Nutrient1,Mannose-6-phosphate,NormAbund,1690105.263
C11 Trac1,Control,13C6 Nutrient1,"Fructose 1,6-bisphosphate",Abund,13640089.49
C11 Trac1,Control,13C6 Nutrient1,"Fructose 1,6-bisphosphate",NormAbund,13640089.49
C11 Trac1,Control,13C6 Nutrient1,"Fructose 2,6-bisphosphate possibly1",Abund,1184026.692
C11 Trac1,Control,13C6 Nutrient1,"Fructose 2,6-bisphosphate possibly1",NormAbund,1184026.692
C11 Trac1,Control,13C6 Nutrient1,"Glucose 1,6-bisphosphate",Abund,5628299.282
C11 Trac1,Control,13C6 Nutrient1,"Glucose 1,6-bisphosphate",NormAbund,5628299.282
C11 Trac1,Control,13C6 Nutrient1,Uridine diphosphate-N-acetylglucosamine,Abund,124312201.9
C11 Trac1,Control,13C6 Nutrient1,Uridine diphosphate-N-acetylglucosamine,NormAbund,124312201.9
C11 Trac1,Control,13C6 Nutrient1,Uridine diphosphate glucuronic acid,Abund,15540515.78
C11 Trac1,Control,13C6 Nutrient1,Uridine diphosphate glucuronic acid,NormAbund,15540515.78
C11 Trac1,Control,13C6 Nutrient1,Uridine diphosphate hexose,Abund,132010078.6
C11 Trac1,Control,13C6 Nutrient1,Uridine diphosphate hexose,NormAbund,132010078.6
C11 Trac1,Control,13C6 Nutrient1,GDP-Fucose,Abund,2665653.365
C11 Trac1,Control,13C6 Nutrient1,GDP-Fucose,NormAbund,2665653.365
C11 Trac2,Control,13C6 Nutrient2,Fructose-6-phosphate,Abund,69446424.17
C11 Trac2,Control,13C6 Nutrient2,Fructose-6-phosphate,NormAbund,69446424.17
C11 Trac2,Control,13C6 Nutrient2,Galactose-1-phosphate,Abund,925266647.8
C11 Trac2,Control,13C6 Nutrient2,Galactose-1-phosphate,NormAbund,925266647.8
C11 Trac2,Control,13C6 Nutrient2,Galactose-6-phosphate,Abund,173183.4091
C11 Trac2,Control,13C6 Nutrient2,Galactose-6-phosphate,NormAbund,173183.4091
C11 Trac2,Control,13C6 Nutrient2,Glucose-1-phosphate,Abund,71951707.67
C11 Trac2,Control,13C6 Nutrient2,Glucose-1-phosphate,NormAbund,71951707.67
C11 Trac2,Control,13C6 Nutrient2,Glucose-6-phosphate,Abund,6805897.592
C11 Trac2,Control,13C6 Nutrient2,Glucose-6-phosphate,NormAbund,6805897.592
C11 Trac2,Control,13C6 Nutrient2,Mannose-1-phosphate,Abund,222275.177
C11 Trac2,Control,13C6 Nutrient2,Mannose-1-phosphate,NormAbund,222275.177
C11 Trac2,Control,13C6 Nutrient2,Mannose-6-phosphate,Abund,1905154.995
C11 Trac2,Control,13C6 Nutrient2,Mannose-6-phosphate,NormAbund,1905154.995
C11 Trac2,Control,13C6 Nutrient2,"Fructose 1,6-bisphosphate",Abund,13947813.27
C11 Trac2,Control,13C6 Nutrient2,"Fructose 1,6-bisphosphate",NormAbund,13947813.27
C11 Trac2,Control,13C6 Nutrient2,"Fructose 2,6-bisphosphate possibly1",Abund,1439213.202
C11 Trac2,Control,13C6 Nutrient2,"Fructose 2,6-bisphosphate possibly1",NormAbund,1439213.202
C11 Trac2,Control,13C6 Nutrient2,"Glucose 1,6-bisphosphate",Abund,7138459.101
C11 Trac2,Control,13C6 Nutrient2,"Glucose 1,6-bisphosphate",NormAbund,7138459.101
C11 Trac2,Control,13C6 Nutrient2,Uridine diphosphate-N-acetylglucosamine,Abund,161625000.2
C11 Trac2,Control,13C6 Nutrient2,Uridine diphosphate-N-acetylglucosamine,NormAbund,161625000.2
C11 Trac2,Control,13C6 Nutrient2,Uridine diphosphate glucuronic acid,Abund,20750364.29
C11 Trac2,Control,13C6 Nutrient2,Uridine diphosphate glucuronic acid,NormAbund,20750364.29
C11 Trac2,Control,13C6 Nutrient2,Uridine diphosphate hexose,Abund,163422316
C11 Trac2,Control,13C6 Nutrient2,Uridine diphosphate hexose,NormAbund,163422316
C11 Trac2,Control,13C6 Nutrient2,GDP-Fucose,Abund,4059195.807
C11 Trac2,Control,13C6 Nutrient2,GDP-Fucose,NormAbund,4059195.807
C9 Trac1,Control,13C6 Nutrient1,Fructose-6-phosphate,FracCont,0.033764536
C9 Trac1,Control,13C6 Nutrient1,Galactose-1-phosphate,FracCont,0.01748218
C9 Trac1,Control,13C6 Nutrient1,Galactose-6-phosphate,FracCont,-0.025497719
C9 Trac1,Control,13C6 Nutrient1,Glucose-1-phosphate,FracCont,0.135430614
C9 Trac1,Control,13C6 Nutrient1,Glucose-6-phosphate,FracCont,0.827572067
C9 Trac1,Control,13C6 Nutrient1,Mannose-1-phosphate,FracCont,1.01010101
C9 Trac1,Control,13C6 Nutrient1,Mannose-6-phosphate,FracCont,0.985249032
C9 Trac1,Control,13C6 Nutrient1,"Fructose 1,6-bisphosphate",FracCont,0.904435076
C9 Trac1,Control,13C6 Nutrient1,"Fructose 2,6-bisphosphate possibly1",FracCont,1.01010101
C9 Trac1,Control,13C6 Nutrient1,"Glucose 1,6-bisphosphate",FracCont,0.059593922
C9 Trac1,Control,13C6 Nutrient1,Uridine diphosphate-N-acetylglucosamine,FracCont,0.574684175
C9 Trac1,Control,13C6 Nutrient1,Uridine diphosphate glucuronic acid,FracCont,0.368480422
C9 Trac1,Control,13C6 Nutrient1,Uridine diphosphate hexose,FracCont,0.333889264
C9 Trac1,Control,13C6 Nutrient1,GDP-Fucose,FracCont,0.647479854
C9 Trac2,Control,13C6 Nutrient2,Fructose-6-phosphate,FracCont,0.965655074
C9 Trac2,Control,13C6 Nutrient2,Galactose-1-phosphate,FracCont,0.97933398
C9 Trac2,Control,13C6 Nutrient2,Galactose-6-phosphate,FracCont,1.01010101
C9 Trac2,Control,13C6 Nutrient2,Glucose-1-phosphate,FracCont,0.86010789
C9 Trac2,Control,13C6 Nutrient2,Glucose-6-phosphate,FracCont,0.200676747
C9 Trac2,Control,13C6 Nutrient2,Mannose-1-phosphate,FracCont,-0.043239734
C9 Trac2,Control,13C6 Nutrient2,Mannose-6-phosphate,FracCont,-0.030253017
C9 Trac2,Control,13C6 Nutrient2,"Fructose 1,6-bisphosphate",FracCont,0.05982992
C9 Trac2,Control,13C6 Nutrient2,"Fructose 2,6-bisphosphate possibly1",FracCont,-0.020578201
C9 Trac2,Control,13C6 Nutrient2,"Glucose 1,6-bisphosphate",FracCont,0.904751116
C9 Trac2,Control,13C6 Nutrient2,Uridine diphosphate-N-acetylglucosamine,FracCont,0.018907637
C9 Trac2,Control,13C6 Nutrient2,Uridine diphosphate glucuronic acid,FracCont,0.334612404
C9 Trac2,Control,13C6 Nutrient2,Uridine diphosphate hexose,FracCont,0.37474929
C9 Trac2,Control,13C6 Nutrient2,GDP-Fucose,FracCont,-0.006385591
C17 Trac1,Control,13C6 Nutrient1,Fructose-6-phosphate,FracCont,0.038338602
C17 Trac1,Control,13C6 Nutrient1,Galactose-1-phosphate,FracCont,0.01924019
C17 Trac1,Control,13C6 Nutrient1,Galactose-6-phosphate,FracCont,-0.042901404
C17 Trac1,Control,13C6 Nutrient1,Glucose-1-phosphate,FracCont,0.132283833
C17 Trac1,Control,13C6 Nutrient1,Glucose-6-phosphate,FracCont,0.847177393
C17 Trac1,Control,13C6 Nutrient1,Mannose-1-phosphate,FracCont,1.01010101
C17 Trac1,Control,13C6 Nutrient1,Mannose-6-phosphate,FracCont,0.9872927
C17 Trac1,Control,13C6 Nutrient1,"Fructose 1,6-bisphosphate",FracCont,0.860289712
C17 Trac1,Control,13C6 Nutrient1,"Fructose 2,6-bisphosphate possibly1",FracCont,1.01010101
C17 Trac1,Control,13C6 Nutrient1,"Glucose 1,6-bisphosphate",FracCont,0.036716686
C17 Trac1,Control,13C6 Nutrient1,Uridine diphosphate-N-acetylglucosamine,FracCont,0.609511358
C17 Trac1,Control,13C6 Nutrient1,Uridine diphosphate glucuronic acid,FracCont,0.391412945
C17 Trac1,Control,13C6 Nutrient1,Uridine diphosphate hexose,FracCont,0.344597005
C17 Trac1,Control,13C6 Nutrient1,GDP-Fucose,FracCont,0.673006654
C17 Trac2,Control,13C6 Nutrient2,Fructose-6-phosphate,FracCont,0.953624363
C17 Trac2,Control,13C6 Nutrient2,Galactose-1-phosphate,FracCont,0.977462079
C17 Trac2,Control,13C6 Nutrient2,Galactose-6-phosphate,FracCont,1.01010101
C17 Trac2,Control,13C6 Nutrient2,Glucose-1-phosphate,FracCont,0.865555461
C17 Trac2,Control,13C6 Nutrient2,Glucose-6-phosphate,FracCont,0.174532179
C17 Trac2,Control,13C6 Nutrient2,Mannose-1-phosphate,FracCont,-0.043239734
C17 Trac2,Control,13C6 Nutrient2,Mannose-6-phosphate,FracCont,-0.037395469
C17 Trac2,Control,13C6 Nutrient2,"Fructose 1,6-bisphosphate",FracCont,0.077046256
C17 Trac2,Control,13C6 Nutrient2,"Fructose 2,6-bisphosphate possibly1",FracCont,-0.020578201
C17 Trac2,Control,13C6 Nutrient2,"Glucose 1,6-bisphosphate",FracCont,0.931669237
C17 Trac2,Control,13C6 Nutrient2,Uridine diphosphate-N-acetylglucosamine,FracCont,0.017214053
C17 Trac2,Control,13C6 Nutrient2,Uridine diphosphate glucuronic acid,FracCont,0.330495195
