Sample,cohort,compound,datatype,value
MCF002044_001,0,L-Threonine,Abund,2040714.032794368
MCF002044_001,0,L-Threonine,BlankcorAbund,1926569.9164836789
MCF002044_001,0,L-Threonine,NormAbund,3853139.8329673577
MCF002044_001,0,L-Tryptophan,Abund,110164.7163374696
MCF002044_001,0,L-Tryptophan,BlankcorAbund,110164.7163374696
MCF002044_001,0,L-Tryptophan,NormAbund,220329.4326749392
MCF002044_001,0,L-Tyrosine,Abund,91880.20596223006
MCF002044_001,0,L-Tyrosine,BlankcorAbund,91880.20596223006
MCF002044_001,0,L-Tyrosine,NormAbund,183760.41192446012
MCF002044_001,0,L-Valine,Abund,3422223.383669832
MCF002044_001,0,L-Valine,BlankcorAbund,3031356.084043331
MCF002044_001,0,L-Valine,NormAbund,6062712.168086662
MCF002044_001,0,Myristic acid,Abund,5147470.388980408
MCF002044_001,0,Myristic acid,BlankcorAbund,327151.4216426667
MCF002044_001,0,Myristic acid,NormAbund,654302.8432853334
MCF002044_001,0,Palmitic acid,Abund,249953176.859042
MCF002044_001,0,Palmitic acid,BlankcorAbund,-23086379.763856113
MCF002044_001,0,Palmitic acid,NormAbund,-46172759.527712226
MCF002044_001,0,Stearic acid,Abund,120795907.8757457
MCF002044_001,0,Stearic acid,BlankcorAbund,28479168.706762552
MCF002044_001,0,Stearic acid,NormAbund,56958337.413525105
MCF002044_001,0,Fructose,Abund,6561134.872284233
MCF002044_001,0,Fructose,BlankcorAbund,5962360.707940247
MCF002044_001,0,Fructose,NormAbund,11924721.415880494
MCF002044_001,0,Glucose,Abund,5211871464.574143
MCF002044_001,0,Glucose,BlankcorAbund,5210427883.69735
MCF002044_001,0,Glucose,NormAbund,10420855767.3947
MCF002044_001,0,Pentose-phosphate,Abund,4903175.535307777
MCF002044_001,0,Pentose-phosphate,BlankcorAbund,4903175.535307777
MCF002044_001,0,Pentose-phosphate,NormAbund,9806351.070615554
MCF002044_001,0,Myo-inositol,Abund,103097176.0815086
MCF002044_001,0,Myo-inositol,BlankcorAbund,103084922.2522309
MCF002044_001,0,Myo-inositol,NormAbund,206169844.5044618
MCF002044_001,0,2-DL-Hydroxybutyric acid,Abund,68071.08691075657
MCF002044_001,0,2-DL-Hydroxybutyric acid,BlankcorAbund,-5144.509177049433
MCF002044_001,0,2-DL-Hydroxybutyric acid,NormAbund,-10289.018354098866
