"","compound","datatype","cohort","P_RA","Abund","Labeling","Fraction","label_cont","P_FC","lab_label","lablab_posAngle","lablab_posDist","P_lablab","P_RAlab"
"168","Pentose-phosphate","FracCont","0.5*",0.280960382234097,1,"Unlabeled",1,1,NA,"",0,0,"","pRA=0.28"
"169","Pentose-phosphate","FracCont","1*",0.124740088250671,0.62925634798528,"Labeled",0.00300379003095459,0.005,0.0369039536137181,"0.5%",0,0,"P_FC=0.04*","pRA=0.12"
"170","Pentose-phosphate","FracCont","1*",0.124740088250671,0.62925634798528,"Unlabeled",0.626252557954325,0.995,NA,"",0,0,"","pRA=0.12"
"171","Phosphoenolpyruvic acid","FracCont","0.5*",0.0025908145077421,0.937272639803863,"Labeled",0.0954464426989582,0.102,0.0495346134356268,"10.2%",0,0,"P_FC=0.05*","pRA=0*"
"172","Phosphoenolpyruvic acid","FracCont","0.5*",0.0025908145077421,0.937272639803863,"Unlabeled",0.841826197104905,0.898,NA,"",0,0,"","pRA=0*"
"173","Phosphoenolpyruvic acid","FracCont","1*",0.00155360511393027,1,"Labeled",0.121239373736057,0.121,0.0495346134356268,"12.1%",0,0,"P_FC=0.05*","pRA=0*"
"174","Phosphoenolpyruvic acid","FracCont","1*",0.00155360511393027,1,"Unlabeled",0.878760626263943,0.879,NA,"",0,0,"","pRA=0*"
"175","Pyruvic acid","FracCont","0.5",0.0165696057366841,1,"Labeled",0.00349350787119771,0.003,0.827259346562712,"0.3%",0,0,"P_FC=0.83","pRA=0.02*"
"176","Pyruvic acid","FracCont","0.5",0.0165696057366841,1,"Unlabeled",0.996506492128802,0.997,NA,"",0,0,"","pRA=0.02*"
"177","Pyruvic acid","FracCont","1",0.0465122875979461,0.872810636124161,"Labeled",0.0025074980396869,0.003,0.827259346562712,"0.3%",0,0,"P_FC=0.83","pRA=0.05*"
"178","Pyruvic acid","FracCont","1",0.0465122875979461,0.872810636124161,"Unlabeled",0.870303138084474,0.997,NA,"",0,0,"","pRA=0.05*"
"179","Sorbitol","FracCont","0.5*",0.647143948252829,1,"Labeled",0.00730415291712322,0.007,0.0495346134356268,"0.7%",0,0,"P_FC=0.05*","pRA=0.65"
"180","Sorbitol","FracCont","0.5*",0.647143948252829,1,"Unlabeled",0.992695847082877,0.993,NA,"",0,0,"","pRA=0.65"
"181","Sorbitol","FracCont","1*",0.743038277151925,0.873966126354721,"Labeled",0.0120465516026083,0.014,0.0495346134356268,"1.4%",0,0,"P_FC=0.05*","pRA=0.74"
"182","Sorbitol","FracCont","1*",0.743038277151925,0.873966126354721,"Unlabeled",0.861919574752113,0.986,NA,"",0,0,"","pRA=0.74"
"183","Stearic acid","FracCont","0.5",0.459973530526559,0.274686684710881,"Labeled",7.29808717671134e-05,0,0.512690760261924,"0%",0,0,"P_FC=0.51","pRA=0.46"
"184","Stearic acid","FracCont","0.5",0.459973530526559,0.274686684710881,"Unlabeled",0.274613703839114,1,NA,"",0,0,"","pRA=0.46"
"185","Stearic acid","FracCont","1",0.770726911480651,1,"Labeled",0.00037514648537501,0,0.512690760261924,"0%",0,0,"P_FC=0.51","pRA=0.77"
"186","Stearic acid","FracCont","1",0.770726911480651,1,"Unlabeled",0.999624853514625,1,NA,"",0,0,"","pRA=0.77"
"187","Succinic acid","FracCont","0.5*",0.00235743162060923,0.112894820812145,"Labeled",2.42407881516537e-05,0,0.0369039536137181,"0%",0,0,"P_FC=0.04*","pRA=0*"
"188","Succinic acid","FracCont","0.5*",0.00235743162060923,0.112894820812145,"Unlabeled",0.112870580023993,1,NA,"",0,0,"","pRA=0*"
"189","Succinic acid","FracCont","1",0.00115527338774399,0,"Unlabeled",0,0,NA,"ND",0,0,"","pRA=0*"
"190","a-Ketobutyric acid","FracCont","0.5*",0.954433427735586,1,"Labeled",0.00621384726523699,0.006,1,"0.6%",0,0,"P_FC=1","pRA=0.95"
"191","a-Ketobutyric acid","FracCont","0.5*",0.954433427735586,1,"Unlabeled",0.993786152734763,0.994,NA,"",0,0,"","pRA=0.95"
"192","a-Ketobutyric acid","FracCont","1*",0.981188367643957,0.53745589303657,"Labeled",0.00333966883113079,0.006,0.317310507862914,"0.6%",0,0,"P_FC=0.32","pRA=0.98"
"193","a-Ketobutyric acid","FracCont","1*",0.981188367643957,0.53745589303657,"Unlabeled",0.534116224205439,0.994,NA,"",0,0,"","pRA=0.98"
"194","(2 and/or 3-)Phosphoglyceric acid","FracCont","0",NA,0.648009982903484,"Labeled",0.00518534826880028,0.008,NA,"0.8%",0,0,"",""
"195","(2 and/or 3-)Phosphoglyceric acid","FracCont","0",NA,0.648009982903484,"Unlabeled",0.642824634634684,0.992,NA,"",0,0,"",""
"196","13C5-D5-15N Glutamic acid","FracCont","0",NA,0.798592334285778,"Labeled",0,0,NA,"0%",0,0,"",""
"197","13C5-D5-15N Glutamic acid","FracCont","0",NA,0.798592334285778,"Unlabeled",0.798592334285778,1,NA,"",0,0,"",""
"198","2-Phosphoglyceric acid","FracCont","0",NA,0.684538953949969,"Labeled",0.00305889606500496,0.004,NA,"0.4%",0,0,"",""
"199","2-Phosphoglyceric acid","FracCont","0",NA,0.684538953949969,"Unlabeled",0.681480057884964,0.996,NA,"",0,0,"",""
"200","3-DL-Hydroxybutyric acid","FracCont","0",NA,0.856396825332155,"Labeled",0.00791952949906208,0.009,NA,"0.9%",0,0,"",""
"201","3-DL-Hydroxybutyric acid","FracCont","0",NA,0.856396825332155,"Unlabeled",0.848477295833093,0.991,NA,"",0,0,"",""
"202","Citric acid","FracCont","0",NA,1,"Labeled",0.000695639162619108,0.001,NA,"0.1%",0,0,"",""
"203","Citric acid","FracCont","0",NA,1,"Unlabeled",0.999304360837381,0.999,NA,"",0,0,"",""
"204","D-Glyceraldehyde 3-phosphate","FracCont","0",NA,0.242711280967225,"Labeled",0.00285635754579251,0.012,NA,"1.2%",0,0,"",""
"205","D-Glyceraldehyde 3-phosphate","FracCont","0",NA,0.242711280967225,"Unlabeled",0.239854923421433,0.988,NA,"",0,0,"",""
"206","D7-Glucose","FracCont","0",NA,0.909750976686064,"Labeled",0,0,NA,"0%",0,0,"",""
"207","D7-Glucose","FracCont","0",NA,0.909750976686064,"Unlabeled",0.909750976686064,1,NA,"",0,0,"",""
"208","DL-2-Hydroxyglutaric acid","FracCont","0",NA,0.904302321855934,"Labeled",0.00129297649886728,0.001,NA,"0.1%",0,0,"",""
"209","DL-2-Hydroxyglutaric acid","FracCont","0",NA,0.904302321855934,"Unlabeled",0.903009345357067,0.999,NA,"",0,0,"",""
"210","Dihydroxyacetone phosphate","FracCont","0",NA,0.294691596286656,"Labeled",0.00819349597406783,0.028,NA,"2.8%",0,0,"",""
"211","Dihydroxyacetone phosphate","FracCont","0",NA,0.294691596286656,"Unlabeled",0.286498100312589,0.972,NA,"",0,0,"",""
"212","Fructose","FracCont","0",NA,0.872946531194245,"Labeled",0.239653181668063,0.275,NA,"27.5%",0,0,"",""
"213","Fructose","FracCont","0",NA,0.872946531194245,"Unlabeled",0.633293349526182,0.725,NA,"",0,0,"",""
"214","Fucose","FracCont","0",NA,0.546345749057536,"Labeled",0.00791931389031664,0.014,NA,"1.4%",0,0,"",""
"215","Fucose","FracCont","0",NA,0.546345749057536,"Unlabeled",0.538426435167219,0.986,NA,"",0,0,"",""
"216","Fumaric acid","FracCont","0",NA,0.500207787793875,"Labeled",0.00410770503477003,0.008,NA,"0.8%",0,0,"",""
"217","Fumaric acid","FracCont","0",NA,0.500207787793875,"Unlabeled",0.496100082759105,0.992,NA,"",0,0,"",""
"218","Galacturonic acid","FracCont","0",NA,1,"Labeled",1,1,NA,"100%",0,0,"",""
"219","Galacturonic acid","FracCont","0",NA,1,"Unlabeled",0,0,NA,"",0,0,"",""
"220","Glucose","FracCont","0",NA,0.901788927510034,"Labeled",0.901788927510034,1,NA,"100%",0,0,"",""
"221","Glucose","FracCont","0",NA,0.901788927510034,"Unlabeled",0,0,NA,"",0,0,"",""
"222","Glucuronic acid","FracCont","0",NA,0.136739588207976,"Labeled",0.00142430713069888,0.01,NA,"1%",0,0,"",""
"223","Glucuronic acid","FracCont","0",NA,0.136739588207976,"Unlabeled",0.135315281077277,0.99,NA,"",0,0,"",""
"224","Glycerol 3-phosphate","FracCont","0",NA,0.57336080794484,"Labeled",0.00461928413412379,0.008,NA,"0.8%",0,0,"",""
"225","Glycerol 3-phosphate","FracCont","0",NA,0.57336080794484,"Unlabeled",0.568741523810716,0.992,NA,"",0,0,"",""
"226","Glycine","FracCont","0",NA,0.621928691540663,"Labeled",0,0,NA,"0%",0,0,"",""
"227","Glycine","FracCont","0",NA,0.621928691540663,"Unlabeled",0.621928691540663,1,NA,"",0,0,"",""
"228","Hexose","FracCont","0",NA,0.889964271032737,"Labeled",0.889964271032737,1,NA,"100%",0,0,"",""
"229","Hexose","FracCont","0",NA,0.889964271032737,"Unlabeled",0,0,NA,"",0,0,"",""
"230","Hexose-phosphate","FracCont","0",NA,0.24019573745984,"Labeled",0.0189644310559696,0.079,NA,"7.9%",0,0,"",""
"231","Hexose-phosphate","FracCont","0",NA,0.24019573745984,"Unlabeled",0.221231306403871,0.921,NA,"",0,0,"",""
"232","L-Alanine","FracCont","0",NA,0.303022125233735,"Labeled",0.00144791674729714,0.005,NA,"0.5%",0,0,"",""
"233","L-Alanine","FracCont","0",NA,0.303022125233735,"Unlabeled",0.301574208486438,0.995,NA,"",0,0,"",""
"234","L-Asparagine","FracCont","0",NA,1,"Labeled",0.0761596443817915,0.076,NA,"7.6%",0,0,"",""
"235","L-Asparagine","FracCont","0",NA,1,"Unlabeled",0.923840355618208,0.924,NA,"",0,0,"",""
"236","L-Aspartic acid","FracCont","0",NA,0.525390904201075,"Labeled",0.0245018377300137,0.047,NA,"4.7%",0,0,"",""
"237","L-Aspartic acid","FracCont","0",NA,0.525390904201075,"Unlabeled",0.500889066471061,0.953,NA,"",0,0,"",""
"238","L-Cysteine","FracCont","0",NA,0.649381809413856,"Labeled",0.00735624944073533,0.011,NA,"1.1%",0,0,"",""
"239","L-Cysteine","FracCont","0",NA,0.649381809413856,"Unlabeled",0.642025559973121,0.989,NA,"",0,0,"",""
"240","L-Glutamic acid","FracCont","0",NA,0.213448303027094,"Labeled",0.000141925834255582,0.001,NA,"0.1%",0,0,"",""
"241","L-Glutamic acid","FracCont","0",NA,0.213448303027094,"Unlabeled",0.213306377192839,0.999,NA,"",0,0,"",""
"242","L-Isoleucine","FracCont","0",NA,0.205923284115081,"Labeled",0.00851162308149375,0.041,NA,"4.1%",0,0,"",""
"243","L-Isoleucine","FracCont","0",NA,0.205923284115081,"Unlabeled",0.197411661033588,0.959,NA,"",0,0,"",""
"244","L-Lactic acid","FracCont","0",NA,0.795681044408225,"Labeled",0.0002344974078978,0,NA,"0%",0,0,"",""
"245","L-Lactic acid","FracCont","0",NA,0.795681044408225,"Unlabeled",0.795446547000327,1,NA,"",0,0,"",""
"246","L-Leucine","FracCont","0",NA,0.218293293356087,"Labeled",0.00309576606920123,0.014,NA,"1.4%",0,0,"",""
"247","L-Leucine","FracCont","0",NA,0.218293293356087,"Unlabeled",0.215197527286886,0.986,NA,"",0,0,"",""
"248","L-Lysine","FracCont","0",NA,0.223356586766434,"Labeled",0.000141205499430797,0.001,NA,"0.1%",0,0,"",""
"249","L-Lysine","FracCont","0",NA,0.223356586766434,"Unlabeled",0.223215381267003,0.999,NA,"",0,0,"",""
"250","L-Malic acid","FracCont","0",NA,0.567124225138429,"Labeled",0.000180288852468044,0,NA,"0%",0,0,"",""
"251","L-Malic acid","FracCont","0",NA,0.567124225138429,"Unlabeled",0.566943936285961,1,NA,"",0,0,"",""
"252","L-Methionine","FracCont","0",NA,0.379303523868781,"Labeled",0.00324807044193352,0.009,NA,"0.9%",0,0,"",""
"253","L-Methionine","FracCont","0",NA,0.379303523868781,"Unlabeled",0.376055453426848,0.991,NA,"",0,0,"",""
"254","L-Phenylalanine","FracCont","0",NA,0.202115787966979,"Labeled",0.00011967907405628,0.001,NA,"0.1%",0,0,"",""
"255","L-Phenylalanine","FracCont","0",NA,0.202115787966979,"Unlabeled",0.201996108892923,0.999,NA,"",0,0,"",""
"256","L-Proline","FracCont","0",NA,0.166251886561574,"Labeled",2.25002919166548e-05,0,NA,"0%",0,0,"",""
"257","L-Proline","FracCont","0",NA,0.166251886561574,"Unlabeled",0.166229386269657,1,NA,"",0,0,"",""
"258","L-Threonine","FracCont","0",NA,0.247170934070887,"Labeled",0.00384485227662411,0.016,NA,"1.6%",0,0,"",""
"259","L-Threonine","FracCont","0",NA,0.247170934070887,"Unlabeled",0.243326081794263,0.984,NA,"",0,0,"",""
"260","L-Tryptophan","FracCont","0",NA,0.233158985051732,"Labeled",0.0012399702095918,0.005,NA,"0.5%",0,0,"",""
"261","L-Tryptophan","FracCont","0",NA,0.233158985051732,"Unlabeled",0.23191901484214,0.995,NA,"",0,0,"",""
"262","L-Tyrosine","FracCont","0",NA,0.130242269251165,"Labeled",0.00821523566179253,0.063,NA,"6.3%",0,0,"",""
"263","L-Tyrosine","FracCont","0",NA,0.130242269251165,"Unlabeled",0.122027033589373,0.937,NA,"",0,0,"",""
"264","L-Valine","FracCont","0",NA,0.218512079995023,"Labeled",0.00580664483093184,0.027,NA,"2.7%",0,0,"",""
"265","L-Valine","FracCont","0",NA,0.218512079995023,"Unlabeled",0.212705435164091,0.973,NA,"",0,0,"",""
"266","Mannitol","FracCont","0",NA,0.637775602130668,"Labeled",0.0590511527214627,0.093,NA,"9.3%",0,0,"",""
"267","Mannitol","FracCont","0",NA,0.637775602130668,"Unlabeled",0.578724449409206,0.907,NA,"",0,0,"",""
"268","Myo-inositol","FracCont","0",NA,0.880390597292653,"Labeled",0.00250013448419479,0.003,NA,"0.3%",0,0,"",""
"269","Myo-inositol","FracCont","0",NA,0.880390597292653,"Unlabeled",0.877890462808459,0.997,NA,"",0,0,"",""
"270","Myristic acid d27","FracCont","0",NA,0.732425599434716,"Labeled",0,0,NA,"0%",0,0,"",""
"271","Myristic acid d27","FracCont","0",NA,0.732425599434716,"Unlabeled",0.732425599434716,1,NA,"",0,0,"",""
"272","Oxoadipic acid","FracCont","0",NA,1,"Labeled",0.0138067001028492,0.014,NA,"1.4%",0,0,"",""
"273","Oxoadipic acid","FracCont","0",NA,1,"Unlabeled",0.986193299897151,0.986,NA,"",0,0,"",""
"274","Oxoglutaric acid","FracCont","0",NA,0.38019902678278,"Labeled",0.00154466649063306,0.004,NA,"0.4%",0,0,"",""
"275","Oxoglutaric acid","FracCont","0",NA,0.38019902678278,"Unlabeled",0.378654360292147,0.996,NA,"",0,0,"",""
"276","Pentose-phosphate","FracCont","0",NA,0.852039595341026,"Labeled",0,0,NA,"0%",0,0,"",""
"277","Pentose-phosphate","FracCont","0",NA,0.852039595341026,"Unlabeled",0.852039595341026,1,NA,"",0,0,"",""
"278","Phosphoenolpyruvic acid","FracCont","0",NA,0.349713058937185,"Labeled",0.00174083194451411,0.005,NA,"0.5%",0,0,"",""
"279","Phosphoenolpyruvic acid","FracCont","0",NA,0.349713058937185,"Unlabeled",0.347972226992671,0.995,NA,"",0,0,"",""
"280","Pyruvic acid","FracCont","0",NA,0.471228348323504,"Labeled",0.00133005312617809,0.003,NA,"0.3%",0,0,"",""
"281","Pyruvic acid","FracCont","0",NA,0.471228348323504,"Unlabeled",0.469898295197326,0.997,NA,"",0,0,"",""
"282","Sorbitol","FracCont","0",NA,0.926422568189113,"Labeled",0.00113185941478878,0.001,NA,"0.1%",0,0,"",""
"283","Sorbitol","FracCont","0",NA,0.926422568189113,"Unlabeled",0.925290708774325,0.999,NA,"",0,0,"",""
"284","Stearic acid","FracCont","0",NA,0.797883242124224,"Labeled",0.000221972471456573,0,NA,"0%",0,0,"",""
"285","Stearic acid","FracCont","0",NA,0.797883242124224,"Unlabeled",0.797661269652767,1,NA,"",0,0,"",""
"286","Succinic acid","FracCont","0",NA,1,"Labeled",0,0,NA,"0%",0,0,"",""
"287","Succinic acid","FracCont","0",NA,1,"Unlabeled",1,1,NA,"",0,0,"",""
"288","a-Ketobutyric acid","FracCont","0",NA,0.212553805205443,"Labeled",0.00132077688119156,0.006,NA,"0.6%",0,0,"",""
"289","a-Ketobutyric acid","FracCont","0",NA,0.212553805205443,"Unlabeled",0.211233028324252,0.994,NA,"",0,0,"",""
"290","Galacturonic acid","FracCont","1",0.0068373486678344,0,"Unlabeled",0,0,NA,"ND",0,0,"","pRA=0.01*"
"291","L-Serine","FracCont","0",NA,0,"Unlabeled",0,0,NA,"ND",0,0,"",""
