"","compound","datatype","cohort","P_RA","Abund","Labeling","Fraction","label_cont","P_FC","lab_label","lablab_posAngle","lablab_posDist","P_lablab","P_RAlab"
"32","DL-2-Hydroxyglutaric acid","FracCont","1*",0.999093310470605,0.904069332995955,"Unlabeled",0.902473619049239,0.998,NA,"",0,0,"","pRA=1"
"33","Dihydroxyacetone phosphate","FracCont","0.5*",2.80865888351384e-05,1,"Labeled",0.108522907539154,0.109,0.0495346134356268,"10.9%",0,0,"P_FC=0.05*","pRA=0*"
"34","Dihydroxyacetone phosphate","FracCont","0.5*",2.80865888351384e-05,1,"Unlabeled",0.891477092460846,0.891,NA,"",0,0,"","pRA=0*"
"35","Dihydroxyacetone phosphate","FracCont","1*",3.01740680429738e-05,0.991280571059803,"Labeled",0.0968165839925718,0.098,0.0495346134356268,"9.8%",0,0,"P_FC=0.05*","pRA=0*"
"36","Dihydroxyacetone phosphate","FracCont","1*",3.01740680429738e-05,0.991280571059803,"Unlabeled",0.894463987067232,0.902,NA,"",0,0,"","pRA=0*"
"37","Fructose","FracCont","0.5*",0.293056104198435,1,"Labeled",0.288903141033694,0.289,0.126630457947616,"28.9%",0,0,"P_FC=0.13","pRA=0.29"
"38","Fructose","FracCont","0.5*",0.293056104198435,1,"Unlabeled",0.711096858966306,0.711,NA,"",0,0,"","pRA=0.29"
"39","Fructose","FracCont","1",0.758683831929515,0.837487726637912,"Labeled",0.231754902289415,0.277,0.512690760261924,"27.7%",0,0,"P_FC=0.51","pRA=0.76"
"40","Fructose","FracCont","1",0.758683831929515,0.837487726637912,"Unlabeled",0.605732824348498,0.723,NA,"",0,0,"","pRA=0.76"
"41","Fucose","FracCont","0.5*",0.131794716535176,0.877019832827315,"Labeled",0.00963475731533913,0.011,0.827259346562712,"1.1%",0,0,"P_FC=0.83","pRA=0.13"
"42","Fucose","FracCont","0.5*",0.131794716535176,0.877019832827315,"Unlabeled",0.867385075511976,0.989,NA,"",0,0,"","pRA=0.13"
"43","Fucose","FracCont","1*",0.0538429951165998,1,"Labeled",0.00430637478062089,0.004,0.512690760261924,"0.4%",0,0,"P_FC=0.51","pRA=0.05"
"44","Fucose","FracCont","1*",0.0538429951165998,1,"Unlabeled",0.995693625219379,0.996,NA,"",0,0,"","pRA=0.05"
"45","Fumaric acid","FracCont","0.5*",0.0383794623290771,0.893998376449479,"Labeled",0.0113386590092874,0.013,0.0495346134356268,"1.3%",0,0,"P_FC=0.05*","pRA=0.04*"
"46","Fumaric acid","FracCont","0.5*",0.0383794623290771,0.893998376449479,"Unlabeled",0.882659717440192,0.987,NA,"",0,0,"","pRA=0.04*"
"47","Fumaric acid","FracCont","1*",0.0153314900388413,1,"Labeled",0.012798191186374,0.013,0.0495346134356268,"1.3%",0,0,"P_FC=0.05*","pRA=0.02*"
"48","Fumaric acid","FracCont","1*",0.0153314900388413,1,"Unlabeled",0.987201808813626,0.987,NA,"",0,0,"","pRA=0.02*"
"49","Galacturonic acid","FracCont","0.5*",0.00907313692540721,0.0608338803973543,"Labeled",0.0608338803973543,1,0,"100%",0,0,"P_FC=0*","pRA=0.01*"
"50","Galacturonic acid","FracCont","0.5*",0.00907313692540721,0.0608338803973543,"Unlabeled",0,0,NA,"",0,0,"","pRA=0.01*"
"51","Glucose","FracCont","0.5*",0.404805230133251,1,"Labeled",1,1,0.0495346134356268,"100%",0,0,"P_FC=0.05*","pRA=0.4"
"52","Glucose","FracCont","0.5*",0.404805230133251,1,"Unlabeled",0,0,NA,"",0,0,"","pRA=0.4"
"53","Glucose","FracCont","1*",0.845042186673414,0.879418280837673,"Labeled",0.879418280837673,1,0.0495346134356268,"100%",0,0,"P_FC=0.05*","pRA=0.85"
"54","Glucose","FracCont","1*",0.845042186673414,0.879418280837673,"Unlabeled",0,0,NA,"",0,0,"","pRA=0.85"
"55","Glucuronic acid","FracCont","0.5*",0.00291160576478717,0.87613376073733,"Labeled",0.00555127724571204,0.006,0.512690760261924,"0.6%",0,0,"P_FC=0.51","pRA=0*"
"56","Glucuronic acid","FracCont","0.5*",0.00291160576478717,0.87613376073733,"Unlabeled",0.870582483491618,0.994,NA,"",0,0,"","pRA=0*"
"57","Glucuronic acid","FracCont","1*",0.00133278445055339,1,"Labeled",0.00406392924629911,0.004,0.275233524074834,"0.4%",0,0,"P_FC=0.28","pRA=0*"
"58","Glucuronic acid","FracCont","1*",0.00133278445055339,1,"Unlabeled",0.995936070753701,0.996,NA,"",0,0,"","pRA=0*"
"59","Glycerol 3-phosphate","FracCont","0.5*",0.0273908866529581,0.903262190911821,"Labeled",0.0107910290742734,0.012,0.275233524074834,"1.2%",0,0,"P_FC=0.28","pRA=0.03*"
"60","Glycerol 3-phosphate","FracCont","0.5*",0.0273908866529581,0.903262190911821,"Unlabeled",0.892471161837547,0.988,NA,"",0,0,"","pRA=0.03*"
"61","Glycerol 3-phosphate","FracCont","1*",0.00952848225091237,1,"Labeled",0.00813894673929035,0.008,0.827259346562712,"0.8%",0,0,"P_FC=0.83","pRA=0.01*"
"62","Glycerol 3-phosphate","FracCont","1*",0.00952848225091237,1,"Unlabeled",0.99186105326071,0.992,NA,"",0,0,"","pRA=0.01*"
