"","compound","datatype","Isotopologue","cohort","P_RA","Abund","Fraction","label_cont","P_iso","lab_label","lablab_posAngle","lablab_posDist","P_lablab","P_RAlab"
"147","Glycerol 3-phosphate","Isotopologue","C13-2","1",0.00952848225091237,1,0,0,0.0495346134356268,"<0.05%",-12.992,0.7,"P_iso=0.05*","pRA=0.01*"
"148","Glycerol 3-phosphate","Isotopologue","C13-3","0.5",0.0273908866529581,0.903262190911821,0.0104158402448153,0.012,0.275233524074834,"1.2%",-13.995,0.7,"P_iso=0.28","pRA=0.03*"
"149","Glycerol 3-phosphate","Isotopologue","C13-3","1",0.00952848225091237,1,0.00788276871242046,0.008,0.827259346562712,"0.8%",-12.996,0.7,"P_iso=0.83","pRA=0.01*"
"150","Glycine","Isotopologue","C13-0","0.5",0.089831536956674,0.892191815628328,0.892191815628328,1,0.512690760261924,"100%",-14.501,0,"P_iso=0.51","pRA=0.09"
"151","Glycine","Isotopologue","C13-0","1",0.0300937420000719,1,1,1,0.275233524074834,"100%",-13.5,0,"P_iso=0.28","pRA=0.03*"
"152","Glycine","Isotopologue","C13-1","0.5",0.089831536956674,0.892191815628328,0,0,0.512690760261924,"<0.05%",-15.001,0.7,"P_iso=0.51","pRA=0.09"
"153","Glycine","Isotopologue","C13-1","1",0.0300937420000719,1,0,0,0.275233524074834,"<0.05%",-14,0.7,"P_iso=0.28","pRA=0.03*"
"154","Glycine","Isotopologue","C13-2","0.5",0.089831536956674,0.892191815628328,0,0,0.512690760261924,"<0.05%",-15.001,0.7,"P_iso=0.51","pRA=0.09"
"155","Glycine","Isotopologue","C13-2","1",0.0300937420000719,1,0,0,0.126630457947616,"<0.05%",-14,0.7,"P_iso=0.13","pRA=0.03*"
"156","Hexose","Isotopologue","C13-0","0.5",0.247815679380336,1,0.0105374797139074,0.011,0.126630457947616,"1.1%",-15.0065,0.7,"P_iso=0.13","pRA=0.25"
"157","Hexose","Isotopologue","C13-0","1",0.555542669855482,0.836313279418389,0.0103257293419908,0.012,0.0495346134356268,"1.2%",-14.006,0.7,"P_iso=0.05*","pRA=0.56"
"158","Hexose","Isotopologue","C13-1","0.5",0.247815679380336,1,0,0,0.275233524074834,"<0.05%",-15.012,0.7,"P_iso=0.28","pRA=0.25"
"159","Hexose","Isotopologue","C13-1","1",0.555542669855482,0.836313279418389,0,0,0.126630457947616,"<0.05%",-14.012,0.7,"P_iso=0.13","pRA=0.56"
"160","Hexose","Isotopologue","C13-2","0.5",0.247815679380336,1,0,0,0.512690760261924,"<0.05%",-15.012,0.7,"P_iso=0.51","pRA=0.25"
"161","Hexose","Isotopologue","C13-2","1",0.555542669855482,0.836313279418389,0,0,0.0495346134356268,"<0.05%",-14.012,0.7,"P_iso=0.05*","pRA=0.56"
"162","Hexose","Isotopologue","C13-3","0.5",0.247815679380336,1,0,0,0.0495346134356268,"<0.05%",-15.012,0.7,"P_iso=0.05*","pRA=0.25"
"163","Hexose","Isotopologue","C13-3","1",0.555542669855482,0.836313279418389,0,0,0.0495346134356268,"<0.05%",-14.012,0.7,"P_iso=0.05*","pRA=0.56"
"164","Hexose","Isotopologue","C13-4","0.5",0.247815679380336,1,0,0,0.512690760261924,"<0.05%",-15.012,0.7,"P_iso=0.51","pRA=0.25"
"165","Hexose","Isotopologue","C13-4","1",0.555542669855482,0.836313279418389,0,0,0.275233524074834,"<0.05%",-14.012,0.7,"P_iso=0.28","pRA=0.56"
"166","Hexose","Isotopologue","C13-5","0.5",0.247815679380336,1,0,0,0.512690760261924,"<0.05%",-15.012,0.7,"P_iso=0.51","pRA=0.25"
"167","Hexose","Isotopologue","C13-5","1",0.555542669855482,0.836313279418389,0,0,0.126630457947616,"<0.05%",-14.012,0.7,"P_iso=0.13","pRA=0.56"
"168","Hexose","Isotopologue","C13-6","0.5",0.247815679380336,1,0.989462520286093,0.989,0.0495346134356268,"98.9%",-15.5065,0.7,"P_iso=0.05*","pRA=0.25"
"169","Hexose","Isotopologue","C13-6","1",0.555542669855482,0.836313279418389,0.825987550076398,0.988,0.0495346134356268,"98.8%",-14.506,0.7,"P_iso=0.05*","pRA=0.56"
"170","Hexose-phosphate","Isotopologue","C13-0","0.5",0.00247809155173732,0.668590821867526,0.508433684153838,0.76,0.0495346134356268,"76%",-16.381,0.7,"P_iso=0.05*","pRA=0*"
"171","Hexose-phosphate","Isotopologue","C13-0","1",0.000115763510357043,1,0.789155235398353,0.789,0.0495346134356268,"78.9%",-15.3945,0.7,"P_iso=0.05*","pRA=0*"
"172","Hexose-phosphate","Isotopologue","C13-1","0.5",0.00247809155173732,0.668590821867526,0,0,0.0495346134356268,"<0.05%",-16.761,0.7,"P_iso=0.05*","pRA=0*"
"173","Hexose-phosphate","Isotopologue","C13-1","1",0.000115763510357043,1,0,0,0.0495346134356268,"<0.05%",-15.789,0.7,"P_iso=0.05*","pRA=0*"
"174","Hexose-phosphate","Isotopologue","C13-2","0.5",0.00247809155173732,0.668590821867526,0,0,0.0495346134356268,"<0.05%",-16.761,0.7,"P_iso=0.05*","pRA=0*"
"175","Hexose-phosphate","Isotopologue","C13-2","1",0.000115763510357043,1,0,0,0.0495346134356268,"<0.05%",-15.789,0.7,"P_iso=0.05*","pRA=0*"
"176","Hexose-phosphate","Isotopologue","C13-3","0.5",0.00247809155173732,0.668590821867526,0.0688655929222814,0.103,0.0495346134356268,"10.3%",-16.8125,0.7,"P_iso=0.05*","pRA=0*"
"177","Hexose-phosphate","Isotopologue","C13-3","1",0.000115763510357043,1,0.130376462677256,0.13,0.0495346134356268,"13%",-15.854,0.7,"P_iso=0.05*","pRA=0*"
"178","Hexose-phosphate","Isotopologue","C13-4","0.5",0.00247809155173732,0.668590821867526,0,0,0.275233524074834,"<0.05%",-16.864,0.7,"P_iso=0.28","pRA=0*"
"179","Hexose-phosphate","Isotopologue","C13-4","1",0.000115763510357043,1,0,0,0.512690760261924,"<0.05%",-15.919,0.7,"P_iso=0.51","pRA=0*"
"180","Hexose-phosphate","Isotopologue","C13-5","0.5",0.00247809155173732,0.668590821867526,0,0,0.126630457947616,"<0.05%",-16.864,0.7,"P_iso=0.13","pRA=0*"
"181","Hexose-phosphate","Isotopologue","C13-5","1",0.000115763510357043,1,0.00593352309225242,0.006,0.126630457947616,"0.6%",-15.922,0.7,"P_iso=0.13","pRA=0*"
"182","Hexose-phosphate","Isotopologue","C13-6","0.5",0.00247809155173732,0.668590821867526,0.0912915447914074,0.137,0.126630457947616,"13.7%",-16.9325,0.7,"P_iso=0.13","pRA=0*"
"183","Hexose-phosphate","Isotopologue","C13-6","1",0.000115763510357043,1,0.0745347788321392,0.075,0.512690760261924,"7.5%",-15.9625,0.7,"P_iso=0.51","pRA=0*"
"184","L-Alanine","Isotopologue","C13-0","0.5",0.0139108063753571,0.63172885367416,0.626896595040907,0.992,0.275233524074834,"99.2%",-17.497,0.7,"P_iso=0.28","pRA=0.01*"
"185","L-Alanine","Isotopologue","C13-0","1",0.000341959722610773,1,0.97728583750557,0.977,0.0495346134356268,"97.7%",-16.4885,0.7,"P_iso=0.05*","pRA=0*"
"186","L-Alanine","Isotopologue","C13-1","0.5",0.0139108063753571,0.63172885367416,0,0,0.0495346134356268,"<0.05%",-17.993,0.7,"P_iso=0.05*","pRA=0.01*"
"187","L-Alanine","Isotopologue","C13-1","1",0.000341959722610773,1,0,0,0.275233524074834,"<0.05%",-16.977,0.7,"P_iso=0.28","pRA=0*"
"188","L-Alanine","Isotopologue","C13-2","0.5",0.0139108063753571,0.63172885367416,0,0,0.512690760261924,"<0.05%",-17.993,0.7,"P_iso=0.51","pRA=0.01*"
"189","L-Alanine","Isotopologue","C13-2","1",0.000341959722610773,1,0,0,0.512690760261924,"<0.05%",-16.977,0.7,"P_iso=0.51","pRA=0*"
"190","L-Alanine","Isotopologue","C13-3","0.5",0.0139108063753571,0.63172885367416,0.00483225863325302,0.008,0.512690760261924,"0.8%",-17.997,0.7,"P_iso=0.51","pRA=0.01*"
"191","L-Alanine","Isotopologue","C13-3","1",0.000341959722610773,1,0.0227141624944304,0.023,0.0495346134356268,"2.3%",-16.9885,0.7,"P_iso=0.05*","pRA=0*"
"192","L-Asparagine","Isotopologue","C13-0","0.5",0.766676025000495,0.728047412591178,0.643129285091633,0.883,0.827259346562712,"88.3%",-18.4425,0.7,"P_iso=0.83","pRA=0.77"
"193","L-Asparagine","Isotopologue","C13-0","1",0.558320633818874,0.457368388904609,0.382436489405224,0.836,0.512690760261924,"83.6%",-17.418,0.7,"P_iso=0.51","pRA=0.56"
"194","L-Asparagine","Isotopologue","C13-1","0.5",0.766676025000495,0.728047412591178,0.0794051563127838,0.109,0.512690760261924,"10.9%",-18.9385,0.7,"P_iso=0.51","pRA=0.77"
"195","L-Asparagine","Isotopologue","C13-1","1",0.558320633818874,0.457368388904609,0.0713733254692511,0.156,0.827259346562712,"15.6%",-17.914,0.7,"P_iso=0.83","pRA=0.56"
"196","L-Asparagine","Isotopologue","C13-2","0.5",0.766676025000495,0.728047412591178,0,0,0.827259346562712,"<0.05%",-18.993,0.7,"P_iso=0.83","pRA=0.77"
"197","L-Asparagine","Isotopologue","C13-2","1",0.558320633818874,0.457368388904609,0,0,0.827259346562712,"<0.05%",-17.992,0.7,"P_iso=0.83","pRA=0.56"
"198","L-Asparagine","Isotopologue","C13-3","0.5",0.766676025000495,0.728047412591178,0,0,0.827259346562712,"<0.05%",-18.993,0.7,"P_iso=0.83","pRA=0.77"
"199","L-Asparagine","Isotopologue","C13-3","1",0.558320633818874,0.457368388904609,0,0,0.512690760261924,"<0.05%",-17.992,0.7,"P_iso=0.51","pRA=0.56"
"200","L-Asparagine","Isotopologue","C13-4","0.5",0.766676025000495,0.728047412591178,0.00551297118676185,0.008,0.827259346562712,"0.8%",-18.997,0.7,"P_iso=0.83","pRA=0.77"
"201","L-Asparagine","Isotopologue","C13-4","1",0.558320633818874,0.457368388904609,0.00355857403013406,0.008,0.827259346562712,"0.8%",-17.996,0.7,"P_iso=0.83","pRA=0.56"
"202","L-Aspartic acid","Isotopologue","C13-0","0.5",0.0117843209403546,1,0.957004596784129,0.957,0.827259346562712,"95.7%",-19.4795,0.7,"P_iso=0.83","pRA=0.01*"
"203","L-Aspartic acid","Isotopologue","C13-0","1",0.0243258374820807,0.92286993928693,0.87301637669265,0.946,0.0495346134356268,"94.6%",-18.473,0.7,"P_iso=0.05*","pRA=0.02*"
"204","L-Aspartic acid","Isotopologue","C13-1","0.5",0.0117843209403546,1,0,0,0.275233524074834,"<0.05%",-19.958,0.7,"P_iso=0.28","pRA=0.01*"
"205","L-Aspartic acid","Isotopologue","C13-1","1",0.0243258374820807,0.92286993928693,0,0,0.0495346134356268,"<0.05%",-18.946,0.7,"P_iso=0.05*","pRA=0.02*"
"206","L-Aspartic acid","Isotopologue","C13-2","0.5",0.0117843209403546,1,0,0,0.0495346134356268,"<0.05%",-19.958,0.7,"P_iso=0.05*","pRA=0.01*"
"207","L-Aspartic acid","Isotopologue","C13-2","1",0.0243258374820807,0.92286993928693,0,0,0.0495346134356268,"<0.05%",-18.946,0.7,"P_iso=0.05*","pRA=0.02*"
"208","L-Aspartic acid","Isotopologue","C13-3","0.5",0.0117843209403546,1,0.0429954032158714,0.043,0.0495346134356268,"4.3%",-19.9795,0.7,"P_iso=0.05*","pRA=0.01*"
"209","L-Aspartic acid","Isotopologue","C13-3","1",0.0243258374820807,0.92286993928693,0.0498535625942804,0.054,0.275233524074834,"5.4%",-18.973,0.7,"P_iso=0.28","pRA=0.02*"
"210","L-Aspartic acid","Isotopologue","C13-4","0.5",0.0117843209403546,1,0,0,0.0495346134356268,"<0.05%",-20.001,0.7,"P_iso=0.05*","pRA=0.01*"
"211","L-Aspartic acid","Isotopologue","C13-4","1",0.0243258374820807,0.92286993928693,0,0,0.0495346134356268,"<0.05%",-19,0.7,"P_iso=0.05*","pRA=0.02*"
"212","L-Cysteine","Isotopologue","C13-0","0.5",0.0320237403504859,0.917272273156825,0.904992920741926,0.987,0.0495346134356268,"98.7%",-20.4945,0.7,"P_iso=0.05*","pRA=0.03*"
"213","L-Cysteine","Isotopologue","C13-0","1",0.0108651004759893,1,0.985921956598495,0.986,0.0495346134356268,"98.6%",-19.493,0.7,"P_iso=0.05*","pRA=0.01*"
"214","L-Cysteine","Isotopologue","C13-1","0.5",0.0320237403504859,0.917272273156825,0,0,0.275233524074834,"<0.05%",-20.988,0.7,"P_iso=0.28","pRA=0.03*"
"215","L-Cysteine","Isotopologue","C13-1","1",0.0108651004759893,1,0,0,0.275233524074834,"<0.05%",-19.986,0.7,"P_iso=0.28","pRA=0.01*"
"216","L-Cysteine","Isotopologue","C13-2","0.5",0.0320237403504859,0.917272273156825,0,0,0.275233524074834,"<0.05%",-20.988,0.7,"P_iso=0.28","pRA=0.03*"
"217","L-Cysteine","Isotopologue","C13-2","1",0.0108651004759893,1,0,0,0.126630457947616,"<0.05%",-19.986,0.7,"P_iso=0.13","pRA=0.01*"
"218","L-Cysteine","Isotopologue","C13-3","0.5",0.0320237403504859,0.917272273156825,0.0122793524148989,0.013,0.0495346134356268,"1.3%",-20.9945,0.7,"P_iso=0.05*","pRA=0.03*"
"219","L-Cysteine","Isotopologue","C13-3","1",0.0108651004759893,1,0.0140780434015054,0.014,0.0495346134356268,"1.4%",-19.993,0.7,"P_iso=0.05*","pRA=0.01*"
"220","L-Glutamic acid","Isotopologue","C13-0","0.5",0.00269331048586818,0.642587358398664,0.642587358398664,1,0.0495346134356268,"100%",-21.501,0,"P_iso=0.05*","pRA=0*"
"221","L-Glutamic acid","Isotopologue","C13-0","1",0.000105745170236085,1,1,1,0.0495346134356268,"100%",-20.5,0,"P_iso=0.05*","pRA=0*"
"222","L-Glutamic acid","Isotopologue","C13-1","0.5",0.00269331048586818,0.642587358398664,0,0,0.0495346134356268,"<0.05%",-22.001,0.7,"P_iso=0.05*","pRA=0*"
"223","L-Glutamic acid","Isotopologue","C13-1","1",0.000105745170236085,1,0,0,0.0495346134356268,"<0.05%",-21,0.7,"P_iso=0.05*","pRA=0*"
"224","L-Glutamic acid","Isotopologue","C13-2","0.5",0.00269331048586818,0.642587358398664,0,0,0.0495346134356268,"<0.05%",-22.001,0.7,"P_iso=0.05*","pRA=0*"
"225","L-Glutamic acid","Isotopologue","C13-2","1",0.000105745170236085,1,0,0,0.0495346134356268,"<0.05%",-21,0.7,"P_iso=0.05*","pRA=0*"
"226","L-Glutamic acid","Isotopologue","C13-3","0.5",0.00269331048586818,0.642587358398664,0,0,0.126630457947616,"<0.05%",-22.001,0.7,"P_iso=0.13","pRA=0*"
"227","L-Glutamic acid","Isotopologue","C13-3","1",0.000105745170236085,1,0,0,0.126630457947616,"<0.05%",-21,0.7,"P_iso=0.13","pRA=0*"
"228","L-Glutamic acid","Isotopologue","C13-4","0.5",0.00269331048586818,0.642587358398664,0,0,0.275233524074834,"<0.05%",-22.001,0.7,"P_iso=0.28","pRA=0*"
"229","L-Glutamic acid","Isotopologue","C13-4","1",0.000105745170236085,1,0,0,0.126630457947616,"<0.05%",-21,0.7,"P_iso=0.13","pRA=0*"
"230","L-Glutamic acid","Isotopologue","C13-5","0.5",0.00269331048586818,0.642587358398664,0,0,0.275233524074834,"<0.05%",-22.001,0.7,"P_iso=0.28","pRA=0*"
"231","L-Glutamic acid","Isotopologue","C13-5","1",0.000105745170236085,1,0,0,0.512690760261924,"<0.05%",-21,0.7,"P_iso=0.51","pRA=0*"
"232","L-Isoleucine","Isotopologue","C13-0","0.5",0.00223248967195541,0.613898529173296,0.573278446136251,0.934,0.0495346134356268,"93.4%",-22.468,0.7,"P_iso=0.05*","pRA=0*"
"233","L-Isoleucine","Isotopologue","C13-0","1",6.07483366739241e-05,1,0.962704531770159,0.963,0.0495346134356268,"96.3%",-21.4815,0.7,"P_iso=0.05*","pRA=0*"
"234","L-Isoleucine","Isotopologue","C13-1","0.5",0.00223248967195541,0.613898529173296,0.0292200216504067,0.048,0.0495346134356268,"4.8%",-22.959,0.7,"P_iso=0.05*","pRA=0*"
"235","L-Isoleucine","Isotopologue","C13-1","1",6.07483366739241e-05,1,0.0311410494392346,0.031,0.0495346134356268,"3.1%",-21.9785,0.7,"P_iso=0.05*","pRA=0*"
"236","L-Isoleucine","Isotopologue","C13-2","0.5",0.00223248967195541,0.613898529173296,0.0114000613866382,0.019,0.0495346134356268,"1.9%",-22.9925,0.7,"P_iso=0.05*","pRA=0*"
"237","L-Isoleucine","Isotopologue","C13-2","1",6.07483366739241e-05,1,0.00615441879060679,0.006,0.0495346134356268,"0.6%",-21.997,0.7,"P_iso=0.05*","pRA=0*"
"238","L-Isoleucine","Isotopologue","C13-3","0.5",0.00223248967195541,0.613898529173296,0,0,0.0495346134356268,"<0.05%",-23.002,0.7,"P_iso=0.05*","pRA=0*"
"239","L-Isoleucine","Isotopologue","C13-3","1",6.07483366739241e-05,1,0,0,0.0495346134356268,"<0.05%",-22,0.7,"P_iso=0.05*","pRA=0*"
"240","L-Isoleucine","Isotopologue","C13-4","0.5",0.00223248967195541,0.613898529173296,0,0,0.0495346134356268,"<0.05%",-23.002,0.7,"P_iso=0.05*","pRA=0*"
"241","L-Isoleucine","Isotopologue","C13-4","1",6.07483366739241e-05,1,0,0,0.0495346134356268,"<0.05%",-22,0.7,"P_iso=0.05*","pRA=0*"
"242","L-Isoleucine","Isotopologue","C13-5","0.5",0.00223248967195541,0.613898529173296,0,0,0.512690760261924,"<0.05%",-23.002,0.7,"P_iso=0.51","pRA=0*"
"243","L-Isoleucine","Isotopologue","C13-5","1",6.07483366739241e-05,1,0,0,0.0495346134356268,"<0.05%",-22,0.7,"P_iso=0.05*","pRA=0*"
"244","L-Isoleucine","Isotopologue","C13-6","0.5",0.00223248967195541,0.613898529173296,0,0,0.126630457947616,"<0.05%",-23.002,0.7,"P_iso=0.13","pRA=0*"
"245","L-Isoleucine","Isotopologue","C13-6","1",6.07483366739241e-05,1,0,0,0.275233524074834,"<0.05%",-22,0.7,"P_iso=0.28","pRA=0*"
"246","L-Lactic acid","Isotopologue","C13-0","0.5",0.947357240124665,0.809671574358299,0.760576485612619,0.939,0.0495346134356268,"93.9%",-23.4715,0.7,"P_iso=0.05*","pRA=0.95"
"247","L-Lactic acid","Isotopologue","C13-0","1",0.35356716228642,1,0.810112997165059,0.81,0.0495346134356268,"81%",-22.405,0.7,"P_iso=0.05*","pRA=0.35"
"248","L-Lactic acid","Isotopologue","C13-1","0.5",0.947357240124665,0.809671574358299,0,0,0.512690760261924,"<0.05%",-23.941,0.7,"P_iso=0.51","pRA=0.95"
"249","L-Lactic acid","Isotopologue","C13-1","1",0.35356716228642,1,0,0,0.0495346134356268,"<0.05%",-22.81,0.7,"P_iso=0.05*","pRA=0.35"
"250","L-Lactic acid","Isotopologue","C13-2","0.5",0.947357240124665,0.809671574358299,0,0,0.512690760261924,"<0.05%",-23.941,0.7,"P_iso=0.51","pRA=0.95"
"251","L-Lactic acid","Isotopologue","C13-2","1",0.35356716228642,1,0,0,0.0495346134356268,"<0.05%",-22.81,0.7,"P_iso=0.05*","pRA=0.35"
"252","L-Lactic acid","Isotopologue","C13-3","0.5",0.947357240124665,0.809671574358299,0.0490950887456798,0.061,0.0495346134356268,"6.1%",-23.9715,0.7,"P_iso=0.05*","pRA=0.95"
"253","L-Lactic acid","Isotopologue","C13-3","1",0.35356716228642,1,0.189887002834941,0.19,0.0495346134356268,"19%",-22.905,0.7,"P_iso=0.05*","pRA=0.35"
"254","L-Leucine","Isotopologue","C13-0","0.5",0.0642834532240393,0.68404157645577,0.68404157645577,1,0.827259346562712,"100%",-24.502,0,"P_iso=0.83","pRA=0.06"
"255","L-Leucine","Isotopologue","C13-0","1",0.00898691958398831,1,1,1,0.512690760261924,"100%",-23.5,0,"P_iso=0.51","pRA=0.01*"
"256","L-Leucine","Isotopologue","C13-1","0.5",0.0642834532240393,0.68404157645577,0,0,0.827259346562712,"<0.05%",-25.002,0.7,"P_iso=0.83","pRA=0.06"
"257","L-Leucine","Isotopologue","C13-1","1",0.00898691958398831,1,0,0,0.512690760261924,"<0.05%",-24,0.7,"P_iso=0.51","pRA=0.01*"
"258","L-Leucine","Isotopologue","C13-2","0.5",0.0642834532240393,0.68404157645577,0,0,0.275233524074834,"<0.05%",-25.002,0.7,"P_iso=0.28","pRA=0.06"
"259","L-Leucine","Isotopologue","C13-2","1",0.00898691958398831,1,0,0,0.0495346134356268,"<0.05%",-24,0.7,"P_iso=0.05*","pRA=0.01*"
"260","L-Leucine","Isotopologue","C13-3","0.5",0.0642834532240393,0.68404157645577,0,0,0.275233524074834,"<0.05%",-25.002,0.7,"P_iso=0.28","pRA=0.06"
"261","L-Leucine","Isotopologue","C13-3","1",0.00898691958398831,1,0,0,0.0495346134356268,"<0.05%",-24,0.7,"P_iso=0.05*","pRA=0.01*"
"262","L-Leucine","Isotopologue","C13-4","0.5",0.0642834532240393,0.68404157645577,0,0,0.275233524074834,"<0.05%",-25.002,0.7,"P_iso=0.28","pRA=0.06"
"263","L-Leucine","Isotopologue","C13-4","1",0.00898691958398831,1,0,0,0.0495346134356268,"<0.05%",-24,0.7,"P_iso=0.05*","pRA=0.01*"
"264","L-Leucine","Isotopologue","C13-5","0.5",0.0642834532240393,0.68404157645577,0,0,0.275233524074834,"<0.05%",-25.002,0.7,"P_iso=0.28","pRA=0.06"
"265","L-Leucine","Isotopologue","C13-5","1",0.00898691958398831,1,0,0,0.0495346134356268,"<0.05%",-24,0.7,"P_iso=0.05*","pRA=0.01*"
"266","L-Leucine","Isotopologue","C13-6","0.5",0.0642834532240393,0.68404157645577,0,0,0.512690760261924,"<0.05%",-25.002,0.7,"P_iso=0.51","pRA=0.06"
"267","L-Leucine","Isotopologue","C13-6","1",0.00898691958398831,1,0,0,0.126630457947616,"<0.05%",-24,0.7,"P_iso=0.13","pRA=0.01*"
"268","L-Lysine","Isotopologue","C13-0","0.5",0.00644179383321211,0.761643536810645,0.761643536810645,1,0.0495346134356268,"100%",-25.502,0,"P_iso=0.05*","pRA=0.01*"
"269","L-Lysine","Isotopologue","C13-0","1",0.00105458955276798,1,1,1,0.0495346134356268,"100%",-24.5,0,"P_iso=0.05*","pRA=0*"
"270","L-Lysine","Isotopologue","C13-1","0.5",0.00644179383321211,0.761643536810645,0,0,0.512690760261924,"<0.05%",-26.002,0.7,"P_iso=0.51","pRA=0.01*"
"271","L-Lysine","Isotopologue","C13-1","1",0.00105458955276798,1,0,0,0.0495346134356268,"<0.05%",-25,0.7,"P_iso=0.05*","pRA=0*"
"272","L-Lysine","Isotopologue","C13-2","0.5",0.00644179383321211,0.761643536810645,0,0,0.0495346134356268,"<0.05%",-26.002,0.7,"P_iso=0.05*","pRA=0.01*"
"273","L-Lysine","Isotopologue","C13-2","1",0.00105458955276798,1,0,0,0.0495346134356268,"<0.05%",-25,0.7,"P_iso=0.05*","pRA=0*"
"274","L-Lysine","Isotopologue","C13-3","0.5",0.00644179383321211,0.761643536810645,0,0,0.275233524074834,"<0.05%",-26.002,0.7,"P_iso=0.28","pRA=0.01*"
"275","L-Lysine","Isotopologue","C13-3","1",0.00105458955276798,1,0,0,0.0495346134356268,"<0.05%",-25,0.7,"P_iso=0.05*","pRA=0*"
"276","L-Lysine","Isotopologue","C13-4","0.5",0.00644179383321211,0.761643536810645,0,0,0.0495346134356268,"<0.05%",-26.002,0.7,"P_iso=0.05*","pRA=0.01*"
"277","L-Lysine","Isotopologue","C13-4","1",0.00105458955276798,1,0,0,0.275233524074834,"<0.05%",-25,0.7,"P_iso=0.28","pRA=0*"
"278","L-Lysine","Isotopologue","C13-5","0.5",0.00644179383321211,0.761643536810645,0,0,0.126630457947616,"<0.05%",-26.002,0.7,"P_iso=0.13","pRA=0.01*"
"279","L-Lysine","Isotopologue","C13-5","1",0.00105458955276798,1,0,0,0.0495346134356268,"<0.05%",-25,0.7,"P_iso=0.05*","pRA=0*"
"280","L-Lysine","Isotopologue","C13-6","0.5",0.00644179383321211,0.761643536810645,0,0,0.126630457947616,"<0.05%",-26.002,0.7,"P_iso=0.13","pRA=0.01*"
"281","L-Lysine","Isotopologue","C13-6","1",0.00105458955276798,1,0,0,0.0495346134356268,"<0.05%",-25,0.7,"P_iso=0.05*","pRA=0*"
"282","L-Malic acid","Isotopologue","C13-0","0.5",0.0229308324550878,0.949407833095087,0.949407833095087,1,0.0495346134356268,"100%",-26.502,0,"P_iso=0.05*","pRA=0.02*"
"283","L-Malic acid","Isotopologue","C13-0","1",0.0138451667475557,1,1,1,0.0495346134356268,"100%",-25.5,0,"P_iso=0.05*","pRA=0.01*"
"284","L-Malic acid","Isotopologue","C13-1","0.5",0.0229308324550878,0.949407833095087,0,0,0.827259346562712,"<0.05%",-27.002,0.7,"P_iso=0.83","pRA=0.02*"
"285","L-Malic acid","Isotopologue","C13-1","1",0.0138451667475557,1,0,0,0.126630457947616,"<0.05%",-26,0.7,"P_iso=0.13","pRA=0.01*"
"286","L-Malic acid","Isotopologue","C13-2","0.5",0.0229308324550878,0.949407833095087,0,0,0.0495346134356268,"<0.05%",-27.002,0.7,"P_iso=0.05*","pRA=0.02*"
"287","L-Malic acid","Isotopologue","C13-2","1",0.0138451667475557,1,0,0,0.0495346134356268,"<0.05%",-26,0.7,"P_iso=0.05*","pRA=0.01*"
"288","L-Malic acid","Isotopologue","C13-3","0.5",0.0229308324550878,0.949407833095087,0,0,0.0495346134356268,"<0.05%",-27.002,0.7,"P_iso=0.05*","pRA=0.02*"
"289","L-Malic acid","Isotopologue","C13-3","1",0.0138451667475557,1,0,0,0.0495346134356268,"<0.05%",-26,0.7,"P_iso=0.05*","pRA=0.01*"
"290","L-Malic acid","Isotopologue","C13-4","0.5",0.0229308324550878,0.949407833095087,0,0,0.0495346134356268,"<0.05%",-27.002,0.7,"P_iso=0.05*","pRA=0.02*"
"291","L-Malic acid","Isotopologue","C13-4","1",0.0138451667475557,1,0,0,0.0495346134356268,"<0.05%",-26,0.7,"P_iso=0.05*","pRA=0.01*"
"292","L-Methionine","Isotopologue","C13-0","0.5",0.00450067009637134,0.772834040923644,0.764051449559064,0.989,0.512690760261924,"98.9%",-27.4965,0.7,"P_iso=0.51","pRA=0*"
"293","L-Methionine","Isotopologue","C13-0","1",0.00043625714715851,1,0.988515793697113,0.989,0.827259346562712,"98.9%",-26.4945,0.7,"P_iso=0.83","pRA=0*"
"294","L-Methionine","Isotopologue","C13-1","0.5",0.00450067009637134,0.772834040923644,0,0,0.512690760261924,"<0.05%",-27.991,0.7,"P_iso=0.51","pRA=0*"
"295","L-Methionine","Isotopologue","C13-1","1",0.00043625714715851,1,0,0,0.275233524074834,"<0.05%",-26.989,0.7,"P_iso=0.28","pRA=0*"
"296","L-Methionine","Isotopologue","C13-2","0.5",0.00450067009637134,0.772834040923644,0,0,0.126630457947616,"<0.05%",-27.991,0.7,"P_iso=0.13","pRA=0*"
"297","L-Methionine","Isotopologue","C13-2","1",0.00043625714715851,1,0,0,0.126630457947616,"<0.05%",-26.989,0.7,"P_iso=0.13","pRA=0*"
"298","L-Methionine","Isotopologue","C13-3","0.5",0.00450067009637134,0.772834040923644,0.00452618399658933,0.006,0.512690760261924,"0.6%",-27.994,0.7,"P_iso=0.51","pRA=0*"
"299","L-Methionine","Isotopologue","C13-3","1",0.00043625714715851,1,0.00580106602775313,0.006,0.512690760261924,"0.6%",-26.992,0.7,"P_iso=0.51","pRA=0*"
"300","L-Methionine","Isotopologue","C13-4","0.5",0.00450067009637134,0.772834040923644,0.00425640736799016,0.006,0.126630457947616,"0.6%",-28,0.7,"P_iso=0.13","pRA=0*"
