ID ,L-Glutamate_m5,Oxoglutarate_m5_norm_to_GAm5,Fumarate_m4_norm_to_GAm5,L-Malate_m4_norm_to_GAm5,L-Aspartate_m4_norm_to_GAm5,Isocitric acid_m4_norm_to_GAm5,Oxoglutarate_m3_norm_to_AAm4,L-Glutamate_m3_norm_to_AKGm3,Fumarate_m2_norm_to_AKGm3,L-Malate_m2_norm_to_AKGm3,L-Aspartate_m2_norm_to_AKGm3,3-Phosphoglycerate_m3,D-Glyceraldehyde_3-phosphate_m3,Dihydroxyacetone_phosphate_m3,Fructose 1-6-bisphosphate_m6,Fructose_6-phosphate_m6,Phosphoenolpyruvate_C13-3,D-glucose_C13-6,L-Lactate_m3,Pyruvate_m3,D-ribose_5-phosphate_C13-5
con,0.74,0.65,0.93,0.93,0.86,1,0.65,0.74,0.93,0.93,0.86,0.83,1,1,1,0.7,0.72,0.3,0.66,0.43,0.79
pat,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.67,1,1,1,1,1,1
