compound,detected_fraction,LOD,LOD_blankcor
Fructose-6-phosphate 1mox 4prop,1,6.275499352431638,0
Galactose-1-phosphate 4prop,1,116977.75828921875,98092.55456639687
Galactose-6-phosphate 1mox 4prop,0.5204081632653061,37021.672238958905,31040.592240608883
Glucose-1-phosphate 4prop,1,6.246691259545793,0
Glucose-6-phosphate 1mox 4prop,1,70250.80959487344,58909.4531146666
L-Tryptophan D5 1prop,0,377339600.9865389,316440581.6532056
Mannose-1-phosphate 4prop,0.8877551020408163,3.177874821833207,0
Mannose-6-phosphate 1mox 4prop,1,3.199246793038506,0
